,sky_transmission
0.5,0.7889227406398897
0.5001,0.7889362661222619
0.5002,0.7889497916046341
0.5003,0.7889633170870063
0.5004,0.7889768425693785
0.5005,0.7889893008147502
0.5005999999999999,0.7889785503138053
0.5006999999999999,0.7889677998128602
0.5007999999999999,0.7889570493119153
0.5008999999999999,0.7889462988109704
0.5009999999999999,0.7889355483100254
0.5010999999999999,0.7889247978090805
0.5011999999999999,0.7888738158242586
0.5012999999999999,0.7887196424779527
0.5013999999999998,0.7885654691316467
0.5014999999999998,0.7884112957853406
0.5015999999999998,0.7882571224390347
0.5016999999999998,0.7881029490927287
0.5017999999999998,0.7879487757464227
0.5018999999999998,0.7879233734612215
0.5019999999999998,0.7880227280201346
0.5020999999999998,0.7881220825790477
0.5021999999999998,0.7882214371379608
0.5022999999999997,0.7883207916968737
0.5023999999999997,0.7884201462557868
0.5024999999999997,0.7885195008146999
0.5025999999999997,0.788323556494871
0.5026999999999997,0.7880162594544986
0.5027999999999997,0.7877089624141264
0.5028999999999997,0.787401665373754
0.5029999999999997,0.7870943683333818
0.5030999999999997,0.7867870712930094
0.5031999999999996,0.7864797742526372
0.5032999999999996,0.7852570460037597
0.5033999999999996,0.7839709525742822
0.5034999999999996,0.7826848591448046
0.5035999999999996,0.7813987657153271
0.5036999999999996,0.7801126722858496
0.5037999999999996,0.7788265788563721
0.5038999999999996,0.7778249428536231
0.5039999999999996,0.7786432027965842
0.5040999999999995,0.7794614627395453
0.5041999999999995,0.7802797226825064
0.5042999999999995,0.7810979826254675
0.5043999999999995,0.7819162425684286
0.5044999999999995,0.7827345025113897
0.5045999999999995,0.7835491009648273
0.5046999999999995,0.7843561258964272
0.5047999999999995,0.785163150828027
0.5048999999999995,0.7859701757596268
0.5049999999999994,0.7867772006912266
0.5050999999999994,0.7875842256228265
0.5051999999999994,0.7883912505544263
0.5052999999999994,0.7885497270797834
0.5053999999999994,0.7880786288424386
0.5054999999999994,0.7876075306050937
0.5055999999999994,0.7871364323677489
0.5056999999999994,0.786665334130404
0.5057999999999994,0.7861942358930591
0.5058999999999994,0.7857231376557142
0.5059999999999993,0.7859102935347081
0.5060999999999993,0.7864075993896802
0.5061999999999993,0.7869049052446523
0.5062999999999993,0.7874022110996244
0.5063999999999993,0.7878995169545965
0.5064999999999993,0.7883968228095686
0.5065999999999993,0.7888941286645407
0.5066999999999993,0.789053252052539
0.5067999999999993,0.7891493032601304
0.5068999999999992,0.7892453544677219
0.5069999999999992,0.7893414056753133
0.5070999999999992,0.7894374568829048
0.5071999999999992,0.7895335080904963
0.5072999999999992,0.7896295592980876
0.5073999999999992,0.7895609777273713
0.5074999999999992,0.7894918436557851
0.5075999999999992,0.7894227095841988
0.5076999999999992,0.7893535755126124
0.5077999999999991,0.7892844414410262
0.5078999999999991,0.7892153073694399
0.5079999999999991,0.7892230058388046
0.5080999999999991,0.789697832889339
0.5081999999999991,0.7901726599398734
0.5082999999999991,0.7906474869904079
0.5083999999999991,0.7911223140409422
0.5084999999999991,0.7915971410914767
0.508599999999999,0.7920719681420112
0.508699999999999,0.7924975374534065
0.508799999999999,0.7927942644667856
0.508899999999999,0.7930909914801648
0.508999999999999,0.7933877184935441
0.509099999999999,0.7936844455069232
0.509199999999999,0.7939811725203024
0.509299999999999,0.7942778995336817
0.509399999999999,0.7945370121595458
0.509499999999999,0.7947403160375839
0.5095999999999989,0.794943619915622
0.5096999999999989,0.79514692379366
0.5097999999999989,0.7953502276716982
0.5098999999999989,0.7955535315497363
0.5099999999999989,0.7957568354277744
0.5100999999999989,0.7960302127318216
0.5101999999999989,0.7963684326967124
0.5102999999999989,0.7967066526616031
0.5103999999999989,0.7970448726264939
0.5104999999999988,0.7973830925913846
0.5105999999999988,0.7977213125562754
0.5106999999999988,0.7980595325211662
0.5107999999999988,0.7982282916922945
0.5108999999999988,0.798296172398679
0.5109999999999988,0.7983640531050634
0.5110999999999988,0.798431933811448
0.5111999999999988,0.7984998145178324
0.5112999999999988,0.7985676952242168
0.5113999999999987,0.7986355759306013
0.5114999999999987,0.7987609576343858
0.5115999999999987,0.7989081511153237
0.5116999999999987,0.7990553445962616
0.5117999999999987,0.7992025380771994
0.5118999999999987,0.7993497315581374
0.5119999999999987,0.7994969250390753
0.5120999999999987,0.7996441185200132
0.5121999999999987,0.7997866223303408
0.5122999999999986,0.7999280531928045
0.5123999999999986,0.8000694840552681
0.5124999999999986,0.8002109149177318
0.5125999999999986,0.8003523457801954
0.5126999999999986,0.8004937766426591
0.5127999999999986,0.8006352075051227
0.5128999999999986,0.8007313980685062
0.5129999999999986,0.8008221842432457
0.5130999999999986,0.8009129704179853
0.5131999999999985,0.8010037565927248
0.5132999999999985,0.8010945427674644
0.5133999999999985,0.8011853289422038
0.5134999999999985,0.8012761151169434
0.5135999999999985,0.8013566523558261
0.5136999999999985,0.8014368004015515
0.5137999999999985,0.8015169484472771
0.5138999999999985,0.8015970964930025
0.5139999999999985,0.8016772445387279
0.5140999999999984,0.8017573925844534
0.5141999999999984,0.8018372771431622
0.5142999999999984,0.8019065272487269
0.5143999999999984,0.8019757773542916
0.5144999999999984,0.8020450274598563
0.5145999999999984,0.802114277565421
0.5146999999999984,0.8021835276709857
0.5147999999999984,0.8022527777765502
0.5148999999999984,0.8023231517164127
0.5149999999999983,0.8024072746792241
0.5150999999999983,0.8024913976420357
0.5151999999999983,0.8025755206048472
0.5152999999999983,0.8026596435676587
0.5153999999999983,0.8027437665304702
0.5154999999999983,0.8028278894932818
0.5155999999999983,0.8029104952072849
0.5156999999999983,0.802981711766681
0.5157999999999983,0.8030529283260771
0.5158999999999982,0.8031241448854732
0.5159999999999982,0.8031953614448695
0.5160999999999982,0.8032665780042656
0.5161999999999982,0.8033377945636617
0.5162999999999982,0.8034108214396022
0.5163999999999982,0.8034940947042838
0.5164999999999982,0.8035773679689654
0.5165999999999982,0.8036606412336469
0.5166999999999982,0.8037439144983285
0.5167999999999981,0.8038271877630101
0.5168999999999981,0.8039104610276917
0.5169999999999981,0.8039913836569251
0.5170999999999981,0.8040610950775741
0.5171999999999981,0.8041308064982229
0.5172999999999981,0.8042005179188717
