jd,lc,lcError,airmass,pwv
2458687.7793194447,1.0025709461557453,0.0024183490174513,1.3235597610473633,1.5992469854066071
2458687.7798336805,0.9990595116019798,0.0024139465463533,1.3238998651504517,1.600870134030501
2458687.7803479168,1.0023669569975933,0.0024330474790374,1.3242473602294922,1.6041014115644374
2458687.780862153,0.9975272475185484,0.0023848864392299,1.324609637260437,1.6089112070358529
2458687.7813878474,0.9981924472476852,0.0024085897923152,1.3249788284301758,1.6152553351040198
2458687.781912963,1.0002087649321258,0.0024065824916606,1.325355887413025,1.6230757285085413
2458687.782437963,1.0021989479656856,0.0024246781539762,1.325740098953247,1.6323011987968754
2458687.7829640047,0.9985405694035268,0.002408328140818,1.3261327743530271,1.6428483472348632
2458687.7834891207,1.0033536158393257,0.0024148193291331,1.3265318870544434,1.6546226485242859
2458687.784014815,1.0006353842851516,0.0024608229852981,1.3269397020339966,1.6675196842830422
2458687.7845435184,0.9952648696647308,0.0023924703406819,1.3273565769195557,1.6814265249939546
2458687.785074537,0.997449112812294,0.0024127431893026,1.327783226966858,1.6962231248937159
2458687.7856010417,0.9979936966083056,0.0024340086709311,1.3282127380371094,1.711784291614011
2458687.786126042,1.00164964658931,0.002477021596522,1.328649401664734,1.727980789785376
2458687.786651852,1.0032979787370804,0.0025143039319408,1.329094409942627,1.7446812429634115
2458687.787177662,0.9987542728614408,0.0024736674610333,1.3295457363128662,1.7617541256170168
2458687.787702662,1.001455842312824,0.0025035654228494,1.3300052881240845,1.779069712342245
2458687.788228472,0.998982721886382,0.0024303174304238,1.3304722309112549,1.7965016368329254
2458687.7887564814,1.006843141384143,0.0024634736368962,1.3309401273727417,1.8139286022571126
2458687.789271412,0.9971309266424082,0.0024332015044326,1.3314217329025269,1.8312362175700168
2458687.789796412,0.9998010279631834,0.0024278978364095,1.331911325454712,1.8483183536396055
2458687.790324421,0.9983244139959552,0.0024039335894526,1.3324118852615356,1.8650787046477115
2458687.790851736,1.0058071647761848,0.0024586225916277,1.3329123258590698,1.8814320778453513
2458687.7913717595,1.0003959915146543,0.0024162134646608,1.3334250450134275,1.8973055106975807
2458687.7918984955,1.0045334096041627,0.0024438964566854,1.3339449167251587,1.912639038233729
2458687.79242338,0.9981984364846092,0.0024087046670185,1.3344738483428955,1.9273866976756842
2458687.792953472,1.0062302657315634,0.0024816816270903,1.3350132703781128,1.9415165946800386
2458687.793482176,0.9995605695424876,0.0024311824613185,1.3355597257614136,1.955010949567357
2458687.794009375,1.0000971920157449,0.0024617459531939,1.3361124992370603,1.9678658523398656
2458687.7945350697,1.001647024983208,0.0024690385856474,1.3366737365722656,1.9800909613113042
2458687.795062963,0.9977633944460788,0.0024576969693989,1.3372410535812378,1.9917083963794013
2458687.79559375,0.9971085114451717,0.0024180485385959,1.3378204107284546,2.002751531951501
2458687.796120255,0.999659795269734,0.0024247854731942,1.3384017944335938,2.013263475971108
2458687.7966453703,1.0020248954433586,0.002483085639363,1.3389854431152344,2.0232952917378415
2458687.7971667824,1.0034758147280047,0.0025203154802895,1.3395847082138062,2.0329040159362637
2458687.7976954863,1.0037981741818616,0.002557419556659,1.3401917219161987,2.042150523763639
2458687.798221412,1.0017528426449018,0.0025010165491032,1.3407933712005615,2.051097361357976
2458687.7987363427,0.9945068479866976,0.002467600595973,1.341413140296936,2.0598063885101157
2458687.799264352,1.0005855969649746,0.0024641521228382,1.3420450687408447,2.068336634396849
2458687.799790162,0.9980874152868516,0.002523956119851,1.342681884765625,2.0767424804017143
2458687.8003194444,1.0045287358468866,0.0025150095942606,1.3433163166046145,2.0850723093411916
2458687.800834491,0.9984038563258398,0.0024517472093831,1.343955636024475,2.0933669684240557
2458687.801350347,1.00159543627541,0.0025017758543452,1.3446131944656372,2.1016586245394273
2458687.8018766204,1.002633220580128,0.0025242740942001,1.345284342765808,2.109970045773941
2458687.802403125,0.9996822026523162,0.0025045413983535,1.3459526300430298,2.118314319355269
2458687.8029252314,1.001396820052156,0.0025114923857717,1.346638798713684,2.1266951335201174
2458687.8034510417,1.0003451205726837,0.0024863335259329,1.3473281860351562,2.1351074390537845
2458687.803975463,0.9997121607105142,0.0024580787803825,1.3480265140533447,2.143538104108658
2458687.804501273,0.9964480725498118,0.0024577023796959,1.3487324714660645,2.151966728319961
2458687.805024884,1.0002976615772656,0.0024322513029371,1.3494470119476318,2.160366514341738
2458687.8055542824,0.9952205668581694,0.0024753875921231,1.3501737117767334,2.168705648678343
