,phoenix_flux
0.5,1837790.4222824075
0.5001,1829386.6852901245
0.5002,1820982.9482978415
0.5003,1812579.2113055584
0.5004,1804175.4743132754
0.5005,1795771.7373209924
0.5005999999999999,1787368.0003287094
0.5006999999999999,1689020.5979401018
0.5007999999999999,1547062.7410781237
0.5008999999999999,1405104.8842161454
0.5009999999999999,1263147.0273541673
0.5010999999999999,1121189.170492189
0.5011999999999999,979231.3136302108
0.5012999999999999,837273.4567682326
0.5013999999999998,889273.1830635886
0.5014999999999998,960998.5207573434
0.5015999999999998,1032723.858451098
0.5016999999999998,1104449.1961448528
0.5017999999999998,1176174.5338386074
0.5018999999999998,1247899.8715323622
0.5019999999999998,1336364.3988225395
0.5020999999999998,1534167.000453105
0.5021999999999998,1731969.6020836704
0.5022999999999997,1929772.203714236
0.5023999999999997,2127574.8053448014
0.5024999999999997,2325377.406975367
0.5025999999999997,2523180.0086059324
0.5026999999999997,2669055.9269473
0.5027999999999997,2717941.3606414287
0.5028999999999997,2766826.7943355576
0.5029999999999997,2815712.2280296865
0.5030999999999997,2864597.6617238154
0.5031999999999996,2913483.0954179442
0.5032999999999996,2962368.529112073
0.5033999999999996,2835595.9959263992
0.5034999999999996,2568238.457075419
0.5035999999999996,2300880.918224439
0.5036999999999996,2033523.3793734587
0.5037999999999996,1766165.840522478
0.5038999999999996,1498808.301671498
0.5039999999999996,1231450.7628205176
0.5040999999999995,1437353.4090936189
0.5041999999999995,1798470.9652235243
0.5042999999999995,2159588.5213534296
0.5043999999999995,2520706.0774833355
0.5044999999999995,2881823.633613241
0.5045999999999995,3242941.1897431463
0.5046999999999995,3604058.7458730517
0.5047999999999995,3405299.475716568
0.5048999999999995,3171697.3786018067
0.5049999999999994,2938095.281487046
0.5050999999999994,2704493.1843722844
0.5051999999999994,2470891.087257523
0.5052999999999994,2237288.9901427617
0.5053999999999994,2017966.4423075814
0.5054999999999994,1902777.226319989
0.5055999999999994,1787588.0103323965
0.5056999999999994,1672398.7943448042
0.5057999999999994,1557209.5783572118
0.5058999999999994,1442020.3623696193
0.5059999999999993,1326831.146382027
0.5060999999999993,1290095.1147267881
0.5061999999999993,1444920.742319122
0.5062999999999993,1599746.3699114555
0.5063999999999993,1754571.9975037891
0.5064999999999993,1909397.625096123
0.5065999999999993,2064223.2526884568
0.5066999999999993,2219048.8802807904
0.5067999999999993,2211453.6879409607
0.5068999999999992,2006368.823131234
0.5069999999999992,1801283.958321507
0.5070999999999992,1596199.0935117805
0.5071999999999992,1391114.2287020537
0.5072999999999992,1186029.363892327
0.5073999999999992,980944.4990826002
0.5074999999999992,873401.9673296512
0.5075999999999992,830141.1037844184
0.5076999999999992,786880.2402391857
0.5077999999999991,743619.3766939528
0.5078999999999991,700358.5131487201
0.5079999999999991,657097.6496034873
0.5080999999999991,613836.7860582545
0.5081999999999991,650070.83043091
0.5082999999999991,713514.6118791057
0.5083999999999991,776958.3933273014
0.5084999999999991,840402.174775497
0.508599999999999,903845.9562236927
0.508699999999999,967289.7376718884
0.508799999999999,1030733.5191200841
0.508899999999999,1188657.9484828676
0.508999999999999,1359715.1915239487
0.509099999999999,1530772.43456503
0.509199999999999,1701829.6776061112
0.509299999999999,1872886.9206471923
0.509399999999999,2043944.1636882736
0.509499999999999,2214493.8066238533
0.5095999999999989,2077216.3569770267
0.5096999999999989,1939938.9073302
0.5097999999999989,1802661.4576833735
0.5098999999999989,1665384.0080365469
0.5099999999999989,1528106.55838972
0.5100999999999989,1390829.1087428937
0.5101999999999989,1259739.772273049
0.5102999999999989,1175791.3607831867
0.5103999999999989,1091842.9492933247
0.5104999999999988,1007894.5378034625
0.5105999999999988,923946.1263136002
0.5106999999999988,839997.714823738
0.5107999999999988,756049.3033338757
0.5108999999999988,794488.2432288837
0.5109999999999988,1264025.341564806
0.5110999999999988,1733562.4399007282
0.5111999999999988,2203099.5382366506
0.5112999999999988,2672636.636572573
0.5113999999999987,3142173.7349084946
0.5114999999999987,3611710.833244417
0.5115999999999987,3832593.1246779417
0.5116999999999987,3517452.29820499
0.5117999999999987,3202311.471732038
0.5118999999999987,2887170.645259086
0.5119999999999987,2572029.818786134
0.5120999999999987,2256888.992313182
0.5121999999999987,1941748.16584023
0.5122999999999986,1776591.339384218
0.5123999999999986,1833320.6238652114
0.5124999999999986,1890049.908346205
0.5125999999999986,1946779.1928271984
0.5126999999999986,2003508.477308192
0.5127999999999986,2060237.7617891855
0.5128999999999986,2116967.046270179
0.5129999999999986,2224995.236960038
0.5130999999999986,2388504.6528196484
0.5131999999999985,2552014.068679259
0.5132999999999985,2715523.4845388695
0.5133999999999985,2879032.90039848
0.5134999999999985,3042542.3162580905
0.5135999999999985,3206051.7321177013
0.5136999999999985,3295460.4150309353
0.5137999999999985,3323787.226653179
0.5138999999999985,3352114.0382754225
0.5139999999999985,3380440.8498976664
0.5140999999999984,3408767.66151991
0.5141999999999984,3437094.473142154
0.5142999999999984,3465421.284764398
0.5143999999999984,3253946.705603769
0.5144999999999984,2886901.542458267
0.5145999999999984,2519856.379312765
0.5146999999999984,2152811.2161672628
0.5147999999999984,1785766.053021761
0.5148999999999984,1418720.889876259
0.5149999999999983,1051675.726730757
0.5150999999999983,1159086.9806122193
0.5151999999999983,1515841.6005977937
0.5152999999999983,1872596.220583368
